/home/matheus/tcc_implementation/venv/bin/python /home/matheus/tcc_implementation/agents/dqn/keras_rl_train_dqn_agent.py
Using TensorFlow backend.
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:516: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:517: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:518: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:519: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:520: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:525: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:541: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:542: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:543: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:544: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:545: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:550: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
2019-10-31 20:43:35.046444: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-10-31 20:43:35.067245: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2400000000 Hz
2019-10-31 20:43:35.067493: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x33187c0 executing computations on platform Host. Devices:
2019-10-31 20:43:35.067515: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): <undefined>, <undefined>
2019-10-31 20:43:35.093000: W tensorflow/compiler/jit/mark_for_compilation_pass.cc:1412] (One-time warning): Not using XLA:CPU for cluster because envvar TF_XLA_FLAGS=--tf_xla_cpu_global_jit was not set.  If you want XLA:CPU, either set that envvar, or use experimental_jit_scope to enable XLA:CPU.  To confirm that XLA is active, pass --vmodule=xla_compilation_cache=1 (as a proper command-line flag, not via TF_XLA_FLAGS) or set the envvar XLA_FLAGS=--xla_hlo_profile.
Training for 1100000 steps ...
WARNING:tensorflow:From /home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/keras/backend/tensorflow_backend.py:422: The name tf.global_variables is deprecated. Please use tf.compat.v1.global_variables instead.

     160/1100000: episode: 1, duration: 0.231s, episode steps: 160, steps per second: 691, episode reward: -987.103, mean reward: -6.169 [-100.000, 2.138], mean action: 1.956 [0.000, 3.000], mean observation: 0.449 [-3.266, 5.195], loss: --, mae: --, mean_q: --
     229/1100000: episode: 2, duration: 0.047s, episode steps: 69, steps per second: 1473, episode reward: -439.530, mean reward: -6.370 [-100.000, 1.325], mean action: 1.623 [0.000, 3.000], mean observation: -0.034 [-3.681, 1.953], loss: --, mae: --, mean_q: --
     311/1100000: episode: 3, duration: 0.058s, episode steps: 82, steps per second: 1417, episode reward: -354.634, mean reward: -4.325 [-100.000, 1.303], mean action: 2.012 [0.000, 3.000], mean observation: 0.056 [-1.752, 2.126], loss: --, mae: --, mean_q: --
     460/1100000: episode: 4, duration: 0.117s, episode steps: 149, steps per second: 1272, episode reward: -947.817, mean reward: -6.361 [-100.000, 3.881], mean action: 1.926 [0.000, 3.000], mean observation: 0.388 [-0.674, 5.726], loss: --, mae: --, mean_q: --
     646/1100000: episode: 5, duration: 0.147s, episode steps: 186, steps per second: 1265, episode reward: -1489.699, mean reward: -8.009 [-100.000, 1.567], mean action: 1.957 [0.000, 3.000], mean observation: 0.612 [-3.165, 9.604], loss: --, mae: --, mean_q: --
     736/1100000: episode: 6, duration: 0.062s, episode steps: 90, steps per second: 1455, episode reward: -302.455, mean reward: -3.361 [-100.000, 3.091], mean action: 1.544 [0.000, 3.000], mean observation: 0.354 [-0.516, 2.242], loss: --, mae: --, mean_q: --
     814/1100000: episode: 7, duration: 0.052s, episode steps: 78, steps per second: 1507, episode reward: -462.326, mean reward: -5.927 [-100.000, 2.386], mean action: 1.641 [0.000, 3.000], mean observation: 0.155 [-2.331, 7.394], loss: --, mae: --, mean_q: --
     925/1100000: episode: 8, duration: 0.079s, episode steps: 111, steps per second: 1410, episode reward: -754.147, mean reward: -6.794 [-100.000, 0.653], mean action: 1.955 [0.000, 3.000], mean observation: 0.370 [-2.360, 4.295], loss: --, mae: --, mean_q: --
2019-10-31 20:43:36.633340: E tensorflow/core/grappler/optimizers/dependency_optimizer.cc:697] Iteration = 0, topological sort failed with message: The graph couldn't be sorted in topological order.
2019-10-31 20:43:36.634821: E tensorflow/core/grappler/optimizers/dependency_optimizer.cc:697] Iteration = 1, topological sort failed with message: The graph couldn't be sorted in topological order.
2019-10-31 20:43:36.649861: E tensorflow/core/grappler/optimizers/meta_optimizer.cc:502] remapper failed: Invalid argument: The graph couldn't be sorted in topological order.
2019-10-31 20:43:36.650975: E tensorflow/core/grappler/optimizers/meta_optimizer.cc:502] arithmetic_optimizer failed: Invalid argument: The graph couldn't be sorted in topological order.
2019-10-31 20:43:36.652269: E tensorflow/core/grappler/optimizers/dependency_optimizer.cc:697] Iteration = 0, topological sort failed with message: The graph couldn't be sorted in topological order.
2019-10-31 20:43:36.655430: E tensorflow/core/grappler/optimizers/dependency_optimizer.cc:697] Iteration = 1, topological sort failed with message: The graph couldn't be sorted in topological order.
    1059/1100000: episode: 9, duration: 0.987s, episode steps: 134, steps per second: 136, episode reward: -487.882, mean reward: -3.641 [-100.000, 1.415], mean action: 1.209 [0.000, 3.000], mean observation: 0.301 [-1.007, 4.457], loss: 54.757170, mae: 1.632514, mean_q: -0.176690
    1133/1100000: episode: 10, duration: 0.344s, episode steps: 74, steps per second: 215, episode reward: -133.435, mean reward: -1.803 [-100.000, 17.469], mean action: 0.149 [0.000, 3.000], mean observation: 0.064 [-1.750, 1.423], loss: 33.005699, mae: 2.105048, mean_q: -1.088786
    1216/1100000: episode: 11, duration: 0.374s, episode steps: 83, steps per second: 222, episode reward: -132.928, mean reward: -1.602 [-100.000, 8.533], mean action: 0.157 [0.000, 3.000], mean observation: -0.016 [-1.807, 5.203], loss: 39.678577, mae: 2.684763, mean_q: -1.443285
    1285/1100000: episode: 12, duration: 0.312s, episode steps: 69, steps per second: 221, episode reward: -153.165, mean reward: -2.220 [-100.000, 9.359], mean action: 0.203 [0.000, 3.000], mean observation: -0.034 [-1.666, 1.418], loss: 44.497570, mae: 3.640730, mean_q: -2.283903
    1369/1100000: episode: 13, duration: 0.388s, episode steps: 84, steps per second: 217, episode reward: -287.905, mean reward: -3.427 [-100.000, 99.095], mean action: 1.202 [0.000, 3.000], mean observation: -0.108 [-3.288, 1.410], loss: 37.674477, mae: 4.527802, mean_q: -3.510205
    1420/1100000: episode: 14, duration: 0.234s, episode steps: 51, steps per second: 218, episode reward: -106.772, mean reward: -2.094 [-100.000, 1.090], mean action: 0.020 [0.000, 1.000], mean observation: 0.054 [-1.881, 5.924], loss: 38.389305, mae: 5.476851, mean_q: -4.071359
    1480/1100000: episode: 15, duration: 0.272s, episode steps: 60, steps per second: 220, episode reward: -137.446, mean reward: -2.291 [-100.000, 35.753], mean action: 0.167 [0.000, 3.000], mean observation: 0.125 [-1.720, 2.991], loss: 53.386829, mae: 6.821793, mean_q: -4.945495
    1540/1100000: episode: 16, duration: 0.274s, episode steps: 60, steps per second: 219, episode reward: -124.771, mean reward: -2.080 [-100.000, 4.698], mean action: 0.250 [0.000, 3.000], mean observation: 0.051 [-1.842, 5.591], loss: 42.279556, mae: 7.975266, mean_q: -5.750696
    1679/1100000: episode: 17, duration: 0.636s, episode steps: 139, steps per second: 219, episode reward: -356.325, mean reward: -2.563 [-100.000, 118.363], mean action: 0.791 [0.000, 3.000], mean observation: 0.275 [-1.572, 3.767], loss: 40.383347, mae: 8.087513, mean_q: -6.524898
