/home/matheus/tcc_implementation/venv/bin/python /home/matheus/tcc_implementation/agents/dqn/keras_rl_train_dqn_agent.py
Using TensorFlow backend.
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:516: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:517: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:518: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:519: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:520: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorflow/python/framework/dtypes.py:525: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:541: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:542: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:543: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:544: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:545: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:550: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
2019-10-31 22:45:40.285625: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-10-31 22:45:40.307327: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2400000000 Hz
2019-10-31 22:45:40.307624: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x2a6e7a0 executing computations on platform Host. Devices:
2019-10-31 22:45:40.307647: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): <undefined>, <undefined>
2019-10-31 22:45:40.329973: W tensorflow/compiler/jit/mark_for_compilation_pass.cc:1412] (One-time warning): Not using XLA:CPU for cluster because envvar TF_XLA_FLAGS=--tf_xla_cpu_global_jit was not set.  If you want XLA:CPU, either set that envvar, or use experimental_jit_scope to enable XLA:CPU.  To confirm that XLA is active, pass --vmodule=xla_compilation_cache=1 (as a proper command-line flag, not via TF_XLA_FLAGS) or set the envvar XLA_FLAGS=--xla_hlo_profile.
Training for 1100000 steps ...
WARNING:tensorflow:From /home/matheus/tcc_implementation/venv/lib/python3.7/site-packages/keras/backend/tensorflow_backend.py:422: The name tf.global_variables is deprecated. Please use tf.compat.v1.global_variables instead.

     160/1100000: episode: 1, duration: 0.193s, episode steps: 160, steps per second: 831, episode reward: -987.103, mean reward: -6.169 [-100.000, 2.138], mean action: 1.956 [0.000, 3.000], mean observation: 0.449 [-3.266, 5.195], loss: --, mae: --, mean_q: --
     322/1100000: episode: 2, duration: 0.132s, episode steps: 162, steps per second: 1232, episode reward: -686.288, mean reward: -4.236 [-100.000, 4.006], mean action: 1.963 [0.000, 3.000], mean observation: 0.260 [-0.635, 3.977], loss: --, mae: --, mean_q: --
     432/1100000: episode: 3, duration: 0.078s, episode steps: 110, steps per second: 1411, episode reward: -851.360, mean reward: -7.740 [-100.000, 0.593], mean action: 1.955 [0.000, 3.000], mean observation: 0.516 [-0.701, 5.157], loss: --, mae: --, mean_q: --
     515/1100000: episode: 4, duration: 0.062s, episode steps: 83, steps per second: 1330, episode reward: -622.633, mean reward: -7.502 [-100.000, -0.228], mean action: 1.976 [1.000, 3.000], mean observation: 0.352 [-0.688, 3.366], loss: --, mae: --, mean_q: --
     620/1100000: episode: 5, duration: 0.080s, episode steps: 105, steps per second: 1320, episode reward: -747.842, mean reward: -7.122 [-100.000, -0.940], mean action: 1.952 [0.000, 3.000], mean observation: 0.541 [-0.308, 4.932], loss: --, mae: --, mean_q: --
     736/1100000: episode: 6, duration: 0.085s, episode steps: 116, steps per second: 1366, episode reward: -511.829, mean reward: -4.412 [-100.000, 2.834], mean action: 1.983 [0.000, 3.000], mean observation: 0.355 [-0.382, 3.114], loss: --, mae: --, mean_q: --
     813/1100000: episode: 7, duration: 0.052s, episode steps: 77, steps per second: 1485, episode reward: -475.919, mean reward: -6.181 [-100.000, 0.535], mean action: 1.948 [0.000, 3.000], mean observation: 0.344 [-0.631, 2.457], loss: --, mae: --, mean_q: --
     929/1100000: episode: 8, duration: 0.090s, episode steps: 116, steps per second: 1284, episode reward: -455.365, mean reward: -3.926 [-100.000, 1.276], mean action: 1.957 [0.000, 3.000], mean observation: 0.418 [-0.350, 2.864], loss: --, mae: --, mean_q: --
2019-10-31 22:45:41.834326: E tensorflow/core/grappler/optimizers/dependency_optimizer.cc:697] Iteration = 0, topological sort failed with message: The graph couldn't be sorted in topological order.
2019-10-31 22:45:41.835933: E tensorflow/core/grappler/optimizers/dependency_optimizer.cc:697] Iteration = 1, topological sort failed with message: The graph couldn't be sorted in topological order.
2019-10-31 22:45:41.850939: E tensorflow/core/grappler/optimizers/meta_optimizer.cc:502] remapper failed: Invalid argument: The graph couldn't be sorted in topological order.
2019-10-31 22:45:41.852088: E tensorflow/core/grappler/optimizers/meta_optimizer.cc:502] arithmetic_optimizer failed: Invalid argument: The graph couldn't be sorted in topological order.
2019-10-31 22:45:41.853203: E tensorflow/core/grappler/optimizers/dependency_optimizer.cc:697] Iteration = 0, topological sort failed with message: The graph couldn't be sorted in topological order.
2019-10-31 22:45:41.854645: E tensorflow/core/grappler/optimizers/dependency_optimizer.cc:697] Iteration = 1, topological sort failed with message: The graph couldn't be sorted in topological order.
    1033/1100000: episode: 9, duration: 0.914s, episode steps: 104, steps per second: 114, episode reward: -392.695, mean reward: -3.776 [-100.000, 0.979], mean action: 1.404 [0.000, 3.000], mean observation: 0.316 [-0.728, 2.428], loss: 48.794688, mae: 1.365297, mean_q: 0.037595
    1117/1100000: episode: 10, duration: 0.530s, episode steps: 84, steps per second: 158, episode reward: -266.486, mean reward: -3.172 [-100.000, 6.494], mean action: 1.048 [0.000, 3.000], mean observation: 0.102 [-1.709, 5.209], loss: 51.455811, mae: 2.455516, mean_q: -1.481738
    1199/1100000: episode: 11, duration: 0.498s, episode steps: 82, steps per second: 165, episode reward: -402.137, mean reward: -4.904 [-100.000, 2.297], mean action: 1.841 [0.000, 3.000], mean observation: -0.107 [-2.867, 1.431], loss: 44.345673, mae: 3.073177, mean_q: -2.225611
    1336/1100000: episode: 12, duration: 0.781s, episode steps: 137, steps per second: 176, episode reward: -297.286, mean reward: -2.170 [-100.000, 3.849], mean action: 1.000 [0.000, 3.000], mean observation: 0.114 [-2.746, 2.152], loss: 36.455200, mae: 3.417913, mean_q: -2.681124
    1468/1100000: episode: 13, duration: 0.793s, episode steps: 132, steps per second: 166, episode reward: -98.672, mean reward: -0.748 [-100.000, 58.728], mean action: 2.167 [0.000, 3.000], mean observation: 0.026 [-1.582, 5.649], loss: 29.083071, mae: 4.196517, mean_q: -3.705768
    1536/1100000: episode: 14, duration: 0.394s, episode steps: 68, steps per second: 173, episode reward: -408.220, mean reward: -6.003 [-100.000, 3.054], mean action: 2.265 [0.000, 3.000], mean observation: -0.041 [-2.291, 1.620], loss: 25.101606, mae: 5.127925, mean_q: -4.260367
    1632/1100000: episode: 15, duration: 0.550s, episode steps: 96, steps per second: 175, episode reward: -265.523, mean reward: -2.766 [-100.000, 7.071], mean action: 0.896 [0.000, 3.000], mean observation: 0.023 [-1.666, 4.009], loss: 26.813116, mae: 5.801439, mean_q: -5.118563
    1921/1100000: episode: 16, duration: 1.703s, episode steps: 289, steps per second: 170, episode reward: -245.219, mean reward: -0.849 [-100.000, 11.032], mean action: 2.073 [0.000, 3.000], mean observation: 0.034 [-4.173, 1.406], loss: 21.908365, mae: 7.248973, mean_q: -6.933491
    2103/1100000: episode: 17, duration: 1.042s, episode steps: 182, steps per second: 175, episode reward: -147.982, mean reward: -0.813 [-100.000, 11.478], mean action: 1.527 [0.000, 3.000], mean observation: 0.043 [-0.887, 1.639], loss: 17.372990, mae: 8.189783, mean_q: -8.130484
