Cpu usado (%),Memória usada (MiB)
24.725,37.64453125
24.975,49.41015625
24.975,49.6484375
25.225,49.90625
24.975,49.90625
24.975,50.1640625
24.975,50.421875
24.975,50.421875
24.975,50.6796875
24.975,50.6796875
24.975,50.9375
24.975,51.1953125
25.225,51.1953125
24.975,51.453125
24.975,51.7109375
24.975,51.7109375
24.975,51.96875
24.975,51.96875
24.975,52.2265625
24.975,52.484375
24.975,52.484375
24.975,52.7421875
24.975,53.0
25.0,53.0
24.975,53.2578125
25.225,53.2578125
24.975,53.515625
24.975,53.7734375
24.975,53.7734375
24.975,54.03125
24.975,54.2890625
25.225,54.2890625
24.975,54.546875
25.0,54.546875
24.975,54.8046875
24.975,55.0625
24.725,55.0625
25.225,55.3203125
24.975,55.578125
24.975,55.578125
24.975,55.8359375
24.975,56.09375
24.975,56.09375
24.975,56.3515625
24.975,56.609375
24.975,56.609375
25.225,56.8671875
24.975,57.125
24.975,57.125
24.975,57.3828125
24.975,57.640625
24.975,57.640625
25.0,57.8984375
24.975,58.15625
24.975,58.15625
25.225,58.4140625
24.975,58.4140625
24.975,58.671875
24.975,58.9296875
24.975,58.9296875
24.975,59.1875
24.975,59.1875
24.975,59.4453125
24.975,61.00390625
24.975,61.00390625
25.0,61.00390625
24.975,61.00390625
24.975,61.00390625
25.0,61.00390625
24.975,61.23828125
24.975,61.23828125
25.225,61.49609375
24.975,61.75390625
25.0,61.75390625
24.975,62.01171875
25.0,62.26953125
24.975,62.26953125
25.225,62.52734375
24.975,62.52734375
24.975,62.78515625
24.975,62.78515625
24.975,63.04296875
24.975,63.30078125
24.975,63.30078125
25.225,63.55859375
24.975,63.81640625
24.975,63.81640625
24.975,64.07421875
24.975,64.33203125
24.975,64.33203125
24.975,64.58984375
24.975,64.58984375
24.975,64.84765625
24.975,64.84765625
25.25,65.10546875
24.725,65.36328125
24.975,65.36328125
25.225,65.62109375
24.975,65.62109375
24.975,65.87890625
24.975,65.87890625
24.975,66.13671875
24.975,66.39453125
25.225,66.39453125
24.975,66.65234375
24.725,66.65234375
24.975,66.91015625
24.975,66.91015625
24.725,67.16796875
25.225,67.16796875
24.975,67.42578125
24.975,67.42578125
25.225,67.68359375
25.0,67.68359375
24.975,67.94140625
24.975,67.94140625
24.975,68.19921875
24.975,68.19921875
24.975,68.45703125
25.0,68.71484375
25.225,68.71484375
24.975,69.48828125
24.975,69.48828125
24.975,69.48828125
24.975,69.48828125
24.975,69.48828125
24.975,69.48828125
24.975,69.74609375
24.975,69.74609375
25.225,70.00390625
25.0,70.26171875
24.975,70.26171875
24.975,70.51953125
24.975,70.51953125
24.975,70.77734375
25.0,71.03515625
24.975,71.03515625
24.975,71.29296875
24.975,71.55078125
24.975,71.55078125
24.975,71.80859375
24.975,71.80859375
