Cpu usado (%),Memória usada (MiB)
24.725,37.65234375
24.975,49.3125
24.975,49.42578125
24.975,49.68359375
24.975,49.94140625
24.975,49.94140625
25.225,50.19921875
24.975,50.19921875
24.975,50.45703125
24.975,50.71484375
24.975,50.71484375
24.975,50.97265625
25.0,51.23046875
25.0,51.23046875
24.975,51.48828125
24.975,51.48828125
25.25,51.74609375
24.975,52.00390625
24.975,52.00390625
25.225,52.26171875
25.0,52.51953125
24.975,52.703125
24.975,52.71875
24.975,52.97265625
24.975,52.97265625
24.975,53.23046875
24.975,53.48828125
24.975,53.48828125
24.975,53.74609375
24.975,54.00390625
24.975,54.00390625
24.975,54.26171875
24.975,54.26171875
24.975,54.51953125
24.975,54.77734375
25.225,54.77734375
24.975,55.03515625
24.975,55.03515625
24.975,55.29296875
24.975,55.29296875
24.975,55.55078125
25.225,55.80859375
24.975,55.80859375
25.0,56.06640625
24.975,56.06640625
25.0,56.32421875
24.975,56.32421875
24.975,56.58203125
25.225,56.83984375
24.975,57.09765625
24.975,57.09765625
24.975,57.35546875
24.975,57.61328125
25.0,57.61328125
25.0,57.87109375
25.225,57.87109375
24.975,58.12890625
24.975,58.12890625
24.975,58.38671875
24.975,58.64453125
24.975,58.64453125
24.975,58.90234375
24.975,58.90234375
24.975,59.16015625
24.975,59.41796875
24.975,60.76953125
24.975,60.76953125
24.975,60.76953125
24.975,60.76953125
24.975,60.76953125
24.975,61.0
25.25,61.0
24.975,61.2578125
24.975,61.2578125
24.975,61.515625
24.975,61.515625
24.975,61.7734375
24.975,61.7734375
24.975,62.03125
25.0,62.03125
24.975,62.2890625
25.25,62.546875
24.975,62.546875
24.975,62.8046875
24.975,62.8046875
24.975,63.0625
24.975,63.3203125
25.225,63.3203125
24.975,63.578125
24.975,63.578125
24.975,63.8359375
24.975,64.09375
24.975,64.09375
24.975,64.3515625
24.975,64.609375
24.975,64.609375
24.975,64.8671875
24.975,64.8671875
24.975,65.125
25.225,65.125
24.975,65.3828125
24.725,65.3828125
24.975,65.640625
24.975,65.8984375
24.975,65.8984375
24.975,66.15625
24.975,66.15625
24.975,66.4140625
25.225,66.4140625
24.975,66.671875
24.975,66.671875
24.975,66.9296875
24.975,67.1875
24.975,67.1875
25.225,67.4453125
25.0,67.4453125
24.725,67.703125
25.225,67.703125
24.975,67.703125
24.975,67.9609375
24.975,68.21875
24.975,68.21875
24.975,68.4765625
25.225,69.25
24.975,69.25
24.975,69.25
24.975,69.25
24.975,69.25
24.975,69.25
24.975,69.25
25.0,69.5078125
24.975,69.765625
24.975,69.765625
25.25,70.0234375
24.975,70.0234375
24.975,70.28125
24.975,70.28125
24.975,70.5390625
24.975,70.796875
25.225,70.796875
24.975,71.0546875
24.975,71.0546875
24.975,71.3125
24.975,71.3125
24.975,71.5703125
25.225,71.5703125
24.975,71.828125
24.975,72.0859375
24.975,72.0859375
24.975,72.34375
25.0,72.6015625
24.975,72.6015625
25.225,72.859375
24.725,72.859375
24.975,73.1171875
24.725,73.375
24.975,73.375
25.225,73.6328125
24.975,73.890625
24.975,73.890625
24.975,74.1484375
24.975,74.40625
24.975,74.40625
25.225,74.6640625
24.975,74.6640625
24.975,74.921875
24.975,75.1796875
24.975,75.1796875
24.975,75.1796875
24.975,75.4375
24.975,75.4375
24.975,75.6953125
25.225,75.6953125
24.975,75.953125
24.975,75.953125
24.975,76.2109375
24.975,76.984375
25.0,76.984375
24.975,76.984375
24.975,76.984375
24.975,76.984375
24.975,76.984375
25.225,76.984375
24.975,77.2421875
24.975,77.2421875
24.975,77.5
24.975,77.7578125
24.975,77.7578125
24.975,78.015625
24.975,78.015625
24.975,78.2734375
24.975,78.2734375
24.975,78.53125
24.975,78.7890625
24.975,78.7890625
24.975,79.046875
25.225,79.046875
24.975,79.3046875
24.975,79.3046875
24.975,79.5625
24.975,79.8203125
25.0,79.8203125
24.975,80.078125
25.0,80.078125
24.975,80.3359375
24.975,80.59375
25.225,80.59375
25.0,80.8515625
24.975,81.109375
24.975,81.109375
25.0,81.3671875
24.975,81.3671875
24.975,81.625
25.225,81.8828125
24.975,81.8828125
24.725,82.140625
25.225,82.3984375
24.975,82.3984375
24.975,82.65625
24.975,82.65625
24.975,82.9140625
24.975,82.9140625
24.975,83.171875
25.25,83.171875
24.975,83.4296875
24.975,83.4296875
24.975,83.6875
24.975,84.4609375
24.975,84.4609375
24.975,84.4609375
24.975,84.4609375
24.975,84.4609375
25.225,84.4609375
24.975,84.4609375
24.975,84.71875
24.975,84.71875
25.0,84.9765625
25.0,85.234375
