Cpu usado (%),Memória usada (MiB)
38.45,39.2421875
49.7,55.02734375
50.45,55.02734375
49.725,55.33984375
49.95,55.33984375
49.45,55.33984375
49.975,55.59765625
49.7,55.59765625
49.475,55.85546875
48.975,55.85546875
49.45,55.85546875
48.975,56.11328125
48.75,56.11328125
49.2,57.75390625
49.45,57.75390625
49.45,57.75390625
48.7,57.75390625
49.45,57.75390625
49.475,57.75390625
49.975,57.75390625
49.45,57.75390625
50.225,57.75390625
49.45,57.75390625
49.475,57.75390625
49.7,57.75390625
49.95,57.75390625
49.2,57.75390625
49.95,57.75390625
49.7,57.75390625
49.2,57.75390625
50.2,57.75390625
49.7,57.75390625
48.7,57.75390625
49.0,57.75390625
49.45,57.75390625
49.7,57.75390625
49.2,57.984375
49.2,57.984375
49.2,57.984375
49.475,57.984375
49.225,57.984375
48.95,57.984375
48.45,57.984375
49.2,57.984375
49.2,57.984375
48.95,57.984375
48.95,57.984375
49.2,57.984375
48.975,57.984375
49.475,57.984375
47.475,57.984375
49.95,57.984375
49.7,57.984375
48.75,57.984375
49.7,57.984375
49.45,57.984375
49.45,57.984375
49.45,57.984375
49.475,57.984375
49.2,57.984375
49.2,57.984375
49.7,57.984375
48.95,57.984375
49.2,57.984375
49.475,57.984375
49.725,57.984375
49.7,57.984375
49.45,57.984375
48.975,57.984375
48.975,57.984375
49.7,57.984375
49.75,57.984375
49.725,57.984375
49.2,57.984375
49.2,57.984375
49.725,57.984375
49.45,57.984375
48.975,57.984375
49.2,57.984375
49.2,57.984375
49.2,57.984375
49.5,57.984375
49.2,57.984375
49.45,57.984375
49.975,57.984375
50.2,57.984375
49.225,57.984375
48.95,57.984375
49.45,57.984375
49.45,57.984375
49.2,57.984375
49.5,57.984375
49.0,57.984375
49.45,57.984375
49.45,57.984375
50.5,57.984375
49.475,57.984375
49.975,57.984375
49.75,57.984375
49.7,57.984375
49.45,57.984375
49.7,57.984375
49.95,57.984375
49.975,57.984375
49.45,57.984375
49.725,57.984375
50.225,57.984375
49.75,57.984375
50.0,57.984375
49.5,57.984375
50.2,57.984375
49.975,57.984375
49.95,57.984375
49.7,57.984375
49.725,57.984375
49.725,57.984375
50.2,57.984375
49.7,57.984375
49.45,57.984375
49.45,57.984375
49.725,58.20703125
49.45,58.20703125
49.95,58.20703125
49.975,58.20703125
49.95,58.20703125
49.725,58.20703125
49.7,58.20703125
49.475,58.20703125
49.725,58.20703125
49.7,58.20703125
49.95,58.20703125
49.975,58.20703125
49.725,58.20703125
49.7,58.20703125
49.2,58.20703125
50.0,58.20703125
49.975,58.20703125
48.725,58.20703125
48.975,58.20703125
48.975,58.20703125
48.95,58.20703125
49.2,58.20703125
49.475,58.20703125
49.45,58.20703125
49.2,58.20703125
49.5,58.20703125
49.2,58.20703125
49.225,58.20703125
49.45,58.20703125
49.7,58.20703125
49.2,58.20703125
48.975,58.20703125
49.225,58.20703125
48.95,58.20703125
49.475,58.20703125
49.45,58.20703125
49.2,58.20703125
