Cpu usado (%),Memória usada (MiB)
24.225,38.9375
24.725,54.03515625
24.975,54.03515625
25.225,54.17578125
24.975,54.17578125
24.975,54.43359375
24.975,54.43359375
25.25,54.69140625
24.725,54.69140625
24.975,54.94921875
25.225,54.94921875
24.975,55.20703125
24.975,55.20703125
24.975,55.20703125
24.975,55.46484375
24.975,55.46484375
24.975,55.72265625
24.975,55.98046875
24.975,55.98046875
25.225,56.23828125
24.975,56.23828125
24.975,56.23828125
25.0,56.49609375
24.975,56.49609375
24.975,56.75390625
24.975,56.75390625
24.975,57.01171875
25.225,57.01171875
24.975,57.01171875
24.975,57.26953125
24.975,57.26953125
24.975,57.52734375
24.975,57.52734375
24.975,57.78515625
25.225,57.78515625
24.975,57.78515625
24.975,58.04296875
24.975,58.04296875
24.975,58.30078125
24.975,58.30078125
25.225,58.55859375
24.975,58.55859375
24.975,58.55859375
24.975,58.81640625
24.975,58.81640625
24.975,59.07421875
24.975,59.07421875
24.975,59.33203125
24.975,59.33203125
24.975,59.58984375
25.0,59.58984375
24.975,59.58984375
25.0,59.84765625
25.225,59.84765625
24.975,59.84765625
24.975,60.10546875
24.975,60.10546875
24.975,60.36328125
24.975,60.36328125
24.975,60.62109375
25.225,60.62109375
24.975,60.62109375
24.975,60.87890625
25.0,60.87890625
24.975,61.13671875
24.975,61.13671875
24.975,61.39453125
24.975,61.39453125
24.975,61.65234375
25.225,61.65234375
24.975,61.65234375
24.725,61.91015625
25.25,61.91015625
24.975,62.16796875
24.975,62.16796875
25.225,62.42578125
24.725,62.42578125
24.975,62.68359375
24.975,62.68359375
25.225,62.68359375
25.0,65.54296875
24.975,67.78125
24.975,67.78125
24.975,67.78125
24.975,67.78125
24.975,67.78125
24.975,67.78125
25.225,67.78125
24.975,68.0390625
24.975,68.0390625
24.975,68.296875
25.225,68.296875
24.975,68.296875
24.975,68.5546875
24.975,68.5546875
24.975,68.8125
24.975,68.8125
24.975,69.0703125
24.975,69.0703125
24.975,69.0703125
25.225,69.328125
24.975,69.328125
24.975,69.5859375
24.975,69.5859375
24.975,69.84375
24.975,69.84375
24.975,69.84375
25.0,70.1015625
24.975,70.1015625
24.975,70.359375
