generation,best_element_fitness,time_to_run_generation
1,-34.57061376933154,0
2,-48.61144567521478,79.90277671813965
3,-27.26837936684661,64.5419270992279
4,56.56399333067064,58.61096239089966
5,10.761041049745947,56.23417377471924
6,-12.960351808502924,55.550238609313965
7,-24.254414675902048,53.66521906852722
8,1.062879254544282,55.16480851173401
9,-21.952621964711,56.29725790023804
10,-13.109223183213237,60.13052725791931
11,108.01453071587108,60.204126834869385
12,6.170325083730181,62.421945095062256
13,38.871494654536626,68.0312774181366
14,47.931403603609986,66.81403303146362
15,62.78983338972555,64.53690600395203
16,89.39914615559141,70.12302756309509
17,132.26412150342534,72.13249087333679
18,90.62211405332746,75.99594211578369
19,106.26430586852527,82.24663805961609
20,141.52845128059337,84.41756796836853
21,81.15538399557056,89.35177636146545
22,121.54525977367982,93.75445699691772
23,154.1390909327439,114.46439623832703
24,161.70900464222615,133.3147714138031
25,159.07474357411357,147.92372727394104
26,154.72136166581882,165.49405694007874
27,180.68143847008687,196.87589859962463
28,151.4813967239805,216.86815762519836
29,183.13316622860117,235.3442738056183
30,236.0479408260221,248.1894247531891
31,233.58781934272525,261.6606261730194
32,215.09648634840454,256.37568402290344
33,198.6312228165909,267.1381320953369
34,214.83132935887278,255.6566550731659
35,262.92458228053215,267.6211097240448
