Cpu usado (%),Memória usada (MiB)
23.975,38.71484375
25.225,55.4140625
24.975,55.4140625
24.975,55.4140625
24.975,55.64453125
25.25,55.90234375
24.975,55.90234375
24.975,56.16015625
24.975,56.16015625
24.975,56.16015625
24.975,56.41796875
24.975,56.41796875
25.0,56.67578125
24.975,56.67578125
24.975,56.93359375
25.225,56.93359375
24.975,56.93359375
24.975,57.19140625
24.975,57.19140625
24.975,57.44921875
24.975,57.44921875
24.975,57.70703125
25.225,57.70703125
24.975,57.70703125
24.975,57.96484375
24.975,57.96484375
24.975,58.22265625
24.975,58.22265625
24.975,58.48046875
24.975,58.48046875
24.975,58.73828125
24.975,58.73828125
24.975,58.73828125
25.225,58.99609375
24.975,58.99609375
24.975,59.25390625
24.975,59.25390625
24.975,59.51171875
24.975,59.51171875
24.975,59.51171875
24.975,59.76953125
24.975,59.76953125
24.975,59.76953125
24.975,60.02734375
24.975,60.02734375
25.225,60.28515625
24.975,60.28515625
24.975,60.28515625
25.0,60.54296875
25.0,60.54296875
25.0,60.54296875
25.225,60.80078125
24.975,60.80078125
24.975,61.05859375
24.975,61.05859375
24.975,61.05859375
24.725,61.31640625
24.975,61.31640625
25.225,61.31640625
24.975,61.57421875
24.725,61.57421875
25.225,61.57421875
24.975,61.83203125
25.0,61.83203125
24.975,62.08984375
25.0,62.08984375
24.975,62.34765625
24.975,62.34765625
24.975,62.34765625
24.975,62.60546875
24.975,62.60546875
24.975,62.86328125
24.975,62.86328125
24.975,62.86328125
24.975,63.12109375
24.975,63.12109375
24.975,63.12109375
25.225,63.37890625
24.975,63.37890625
24.975,63.63671875
24.975,63.63671875
24.975,63.63671875
24.975,63.89453125
25.225,63.89453125
24.975,64.15234375
24.725,64.15234375
25.225,64.41015625
24.975,64.41015625
24.975,64.66796875
24.975,64.66796875
24.975,64.92578125
24.975,64.92578125
25.0,64.92578125
24.975,64.92578125
24.975,65.18359375
24.975,65.18359375
25.225,65.18359375
24.975,65.44140625
24.975,65.44140625
24.975,65.69921875
24.975,65.69921875
24.975,65.69921875
24.975,65.95703125
24.975,65.95703125
24.975,66.21484375
25.225,66.21484375
24.975,66.21484375
24.975,66.47265625
25.225,66.47265625
24.975,66.73046875
24.975,66.73046875
24.975,66.98828125
24.975,66.98828125
24.975,66.98828125
24.725,67.24609375
25.225,67.24609375
24.975,67.24609375
24.975,67.50390625
24.975,67.50390625
24.975,67.76171875
25.225,67.76171875
24.975,67.76171875
24.975,68.01953125
24.975,68.01953125
24.975,68.01953125
24.975,68.27734375
25.225,68.27734375
24.725,68.53515625
25.225,68.53515625
25.0,68.53515625
25.0,68.79296875
24.975,68.79296875
24.975,69.05078125
24.975,69.05078125
24.975,69.05078125
24.975,69.30859375
24.975,69.30859375
25.0,69.56640625
24.975,69.56640625
24.975,69.56640625
25.225,69.82421875
24.975,69.82421875
24.975,69.82421875
24.975,70.08203125
24.975,70.08203125
24.975,70.08203125
24.975,70.33984375
24.975,70.33984375
24.975,70.59765625
25.225,70.59765625
24.975,70.85546875
24.975,70.85546875
24.975,70.85546875
24.975,71.11328125
24.975,71.11328125
24.975,71.37109375
24.975,71.37109375
24.975,71.62890625
24.975,71.62890625
24.975,71.62890625
24.975,71.88671875
25.225,71.88671875
24.975,72.14453125
24.975,72.14453125
24.975,72.40234375
